id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,class
5332,4335.9,4029.23,4245.13,4120.0,4330.26,4602.05,4077.95,4618.97,4207.69,4221.54,4205.64,4283.08,4603.59,4383.59,0
3491,4295.9,3993.85,4263.59,4120.0,4332.82,4630.77,4069.23,4623.08,4210.77,4246.15,4221.03,4291.79,4621.03,4366.67,0
2175,4301.03,4000.51,4262.56,4131.28,4341.03,4610.26,4052.82,4618.97,4198.97,4225.13,4192.82,4270.77,4607.69,4357.95,1
2428,4306.67,3995.38,4262.05,4114.87,4338.97,4629.74,4065.13,4614.36,4215.9,4240.51,4208.72,4273.85,4607.69,4371.28,0
1816,4311.79,4019.49,4261.54,4135.9,4353.85,4636.41,4071.28,4610.77,4202.05,4227.18,4207.69,4266.67,4592.82,4353.33,0
3275,4302.05,3993.33,4265.13,4109.23,4333.85,4613.33,4060.0,4618.97,4193.85,4238.97,4205.64,4287.18,4600.0,4364.1,1
6590,4274.87,3966.67,4246.67,4090.26,4316.41,4587.18,4042.56,4606.67,4182.05,4230.26,4192.82,4261.03,4591.28,4347.18,0
3009,4307.18,4048.72,4267.18,4120.0,4343.08,4625.64,4072.31,4607.18,4204.1,4226.15,4203.59,4270.77,4610.77,4359.49,0
7493,4327.69,4043.59,4266.67,4123.08,4354.87,4634.36,4110.26,4634.36,4226.15,4242.56,4228.21,4293.33,4632.82,4380.0,1
4324,4421.03,4094.36,4280.51,4157.44,4343.59,4609.23,4054.36,4579.49,4179.49,4230.77,4209.23,4293.33,4626.15,4452.82,0
94,4309.23,3991.28,4278.46,4129.23,4319.49,4626.67,4065.13,4623.59,4217.95,4248.72,4225.64,4303.08,4631.79,4369.74,0
6850,4277.44,3999.49,4248.21,4116.92,4330.77,4612.82,4065.13,4605.13,4196.41,4216.41,4185.64,4263.08,4580.0,4328.72,0
3866,4345.64,3974.87,4267.69,4124.1,4346.67,4602.05,4069.23,4598.46,4189.23,4226.15,4195.38,4285.64,4596.41,4389.74,1
3364,4287.69,3987.18,4262.05,4110.77,4337.44,4616.92,4052.82,4619.49,4193.33,4230.26,4195.9,4276.41,4602.56,4358.46,1
7902,4296.41,4016.92,4263.08,4117.95,4333.33,4616.92,4089.74,4605.13,4188.21,4214.87,4181.54,4273.85,4578.46,4352.82,0
2523,4264.1,3975.38,4249.74,4104.1,4329.23,4618.46,4075.9,4633.85,4208.21,4218.97,4188.21,4272.31,4565.64,4337.95,0
4270,4422.05,4127.18,4313.33,4181.03,4349.74,4626.67,4075.38,4611.79,4186.15,4220.51,4195.9,4305.13,4637.44,4460.0,0
46,4372.82,4082.05,4289.23,4154.87,4360.51,4629.23,4110.77,4609.23,4204.62,4226.67,4208.21,4292.82,4618.97,4407.69,1
8072,4307.69,4028.21,4257.95,4123.59,4347.18,4623.08,4088.21,4605.13,4195.9,4231.28,4205.64,4282.56,4598.46,4352.31,0
5842,4295.9,4043.59,4251.28,4119.49,4341.54,4622.56,4069.74,4610.77,4205.64,4228.21,4202.05,4272.82,4609.23,4363.08,0
3623,4301.54,4028.21,4264.1,4133.33,4354.87,4621.54,4074.87,4603.59,4182.56,4224.1,4193.33,4265.13,4585.13,4364.1,1
2296,4330.77,3986.15,4263.59,4102.05,4336.41,4623.59,4099.49,4612.82,4190.77,4223.08,4223.59,4305.13,4627.69,4389.23,1
6446,4268.72,3992.31,4261.03,4123.59,4335.38,4615.38,4057.95,4612.31,4189.74,4215.9,4174.87,4270.26,4580.51,4329.23,0
5596,4291.79,3987.18,4275.38,4090.77,4334.87,4620.0,4089.23,4630.77,4202.05,4231.28,4211.79,4291.28,4597.95,4353.85,0
1210,4306.67,4032.31,4267.69,4136.92,4338.46,4617.95,4091.28,4608.21,4193.33,4221.03,4195.38,4287.69,4586.67,4364.1,0
6400,4278.46,3983.59,4259.49,4108.21,4322.05,4608.21,4072.82,4599.49,4196.92,4224.1,4195.38,4274.87,4584.1,4336.92,0
8162,4288.72,3999.49,4263.59,4116.41,4341.54,4615.38,4063.08,4623.08,4211.79,4243.59,4172.82,4275.38,4598.46,4351.28,1
5672,4276.41,3988.72,4252.82,4118.46,4339.49,4626.67,4078.97,4622.05,4208.72,4226.67,4195.9,4262.05,4597.44,4325.13,0
5443,4326.15,4043.59,4267.18,4108.72,4345.13,4626.15,4103.59,4615.38,4211.79,4234.87,4225.13,4292.31,4632.82,4385.13,1
5072,4433.85,4120.51,4313.85,4176.41,4356.92,4615.9,4069.74,4611.28,4189.23,4226.15,4211.79,4306.15,4664.1,4479.49,0
917,4288.21,4001.54,4262.56,4121.54,4351.28,4624.1,4090.26,4614.87,4201.03,4231.28,4193.85,4270.26,4605.64,4349.23,1
6032,4355.9,3985.13,4275.38,4103.08,4326.67,4591.79,4084.1,4619.49,4222.56,4249.74,4257.95,4310.77,4700.0,4450.26,1
1569,4308.72,4003.59,4277.44,4129.74,4357.44,4631.79,4087.69,4634.36,4211.28,4249.23,4227.18,4291.28,4632.82,4351.79,0
8303,4295.38,4018.97,4261.54,4109.74,4343.08,4627.18,4058.97,4619.49,4197.95,4228.72,4199.49,4275.38,4602.05,4344.62,0
5420,4386.67,4063.08,4346.67,4202.56,4420.51,4695.9,4152.82,4689.23,4281.03,4318.97,4302.56,4355.9,4704.62,4458.97,1
6923,4337.44,4064.1,4278.46,4127.18,4369.74,4646.15,4127.18,4648.21,4244.62,4255.9,4241.03,4309.74,4646.15,4402.05,1
8147,4351.79,4069.74,4290.77,4154.36,4343.08,4604.62,4057.95,4592.82,4183.59,4192.31,4166.67,4284.62,4557.95,4375.38,1
7529,4275.38,3994.36,4245.13,4102.56,4330.77,4616.41,4045.13,4630.26,4211.28,4247.18,4198.97,4265.13,4605.13,4354.87,0
6111,4315.38,4006.67,4273.85,4155.38,4352.31,4631.79,4082.05,4624.1,4196.41,4233.85,4217.44,4287.18,4624.62,4367.69,0
6486,4290.77,3992.82,4262.56,4124.62,4321.03,4604.1,4050.77,4593.85,4182.56,4197.95,4176.41,4266.15,4583.08,4342.05,1
5110,4302.56,4049.74,4273.33,4119.49,4356.92,4623.08,4064.62,4591.79,4191.28,4218.46,4189.74,4275.38,4598.46,4353.85,0
6315,4280.51,4017.44,4247.18,4122.56,4327.18,4605.13,4067.69,4613.33,4197.44,4209.74,4184.62,4263.59,4591.79,4334.87,0
