id,attr1,attr2,attr3,attr4,attr5,attr6,class
1625,0.17124373,0.060636934,-0.27606055,0.31851596,2.2639634,1.3274177,0
2531,-0.11179516,-0.049953122,0.67065219,0.85354134,-0.37786573,0.78198578,0
4331,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
2107,0.074017921,-0.23574442,0.67065219,-0.85955255,-0.37786573,-0.94572324,0
2263,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
5534,0.98648382,4.3559547,-0.45638679,1.356499,-0.37786573,0.24874226,0
5283,0.84792858,0.29951146,-0.095734317,0.5265345,0.87326361,0.93434108,0
944,0.84149202,0.94978098,-0.45638679,-0.85955255,-0.37786573,-0.94572324,0
4678,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
5312,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
5419,1.6972146,-0.43923012,-0.50146835,-0.85955255,-0.37786573,-0.94572324,0
1549,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
5666,-0.20614146,-0.37729969,1.4370386999999998,0.1636624,-0.10751589999999997,1.3700772,0
4166,1.0461066,-0.4038413,-0.230979,-0.85955255,-0.37786573,-0.94572324,0
4487,-0.017448866,-0.32421646,-0.45638679,1.0586063,-0.37786573,1.5681391000000002,0
1944,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
3203,0.58623193,0.36586549,-0.050652758,-0.85955255,-0.37786573,-0.94572324,0
2080,0.14481999,-0.38614689,-0.27606055,0.96198103,-0.37786573,1.2542872,0
2512,-0.13059667,-0.45250093,0.76081531,1.0742181999999998,0.27020340000000004,0.80331553,0
3307,1.4014719999999998,-0.45250093,-0.50146835,-0.85955255,-0.37786573,-0.94572324,0
4507,-0.34266411,-0.33306367,0.67065219,0.13117269,1.3770869,0.95871792,0
5721,0.41075121,0.29951146,-0.14081588,0.4151412,-0.37786573,0.96481214,0
6158,-0.048445944000000005,-0.15169597,0.12967348,0.66872973,1.3057707,1.0501311000000002,0
6441,-0.036250373,-0.24016802,1.2567125,1.3691573,-0.37786573,1.3487475,0
4334,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
2793,0.041157631,-0.28882764,-0.0055711987,-0.85955255,-0.37786573,-0.94572324,0
5646,0.1963124,-0.10303635,0.76081531,0.85776078,0.021189184,1.2360046,0
2907,0.026421315,-0.29767485,-0.050652758,0.55860227,0.90658404,1.0074716,0
4095,-0.28727589,-0.43923012,-0.36622367,0.46408674,-0.37786573,1.7936249,0
906,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
6262,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1709,0.063854945,-0.30209845,-0.36622367,1.4408878,-0.37786573,1.0653666000000002,0
3744,-0.53050979,-0.45250093,2.2034252,-0.85955255,-0.37786573,-0.94572324,0
4106,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
406,0.2628799000000001,1.1798083,0.039510361,-0.85955255,-0.37786573,-0.94572324,0
6006,1.0117219000000002,5.0460367,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0
4246,-0.096550699,-0.35518168,0.85097843,2.1573492,-0.37786573,0.62353628,0
2045,0.5299968,-0.42595931,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0
3445,-0.022022206000000003,-0.2136264,0.76081531,0.90248688,-0.37786573,1.3731243,0
83,0.79254035,1.3036692,-0.41130523,1.5455299999999998,-0.37786573,0.97395345,0
3792,1.2676595,5.0770019,-0.14081588,1.6873033,-0.37786573,0.62353628,0
4161,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
371,0.013717595,-0.35075807,0.12967348,0.27969708,0.76516978,1.0409898000000002,0
6587,0.38077043,-0.12957796,0.039510361,1.4421536,-0.37786573,1.132403,0
1110,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
4863,0.018799083,-0.24016802,1.0313047,0.77252803,0.15384531,1.2908525,0
530,0.40888799,0.36144189,-0.32114211,1.3168362,-0.37786573,1.1537327,0
3979,-0.33419496,-0.45250093,0.08459192,-0.21608748,-0.37786573,0.97395345,0
1775,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
4859,0.27541424,-0.11630716,0.039510361,0.82991246,0.49063844,1.220769,0
4744,-0.48020306,-0.45250093,0.58048907,1.1923626,-0.37786573,0.65096023,0
5204,-0.24018743,-0.38614689,0.039510361,-0.85955255,-0.37786573,-0.94572324,0
3280,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
2225,0.86927083,2.4715002,-0.36622367,-0.85955255,-0.37786573,-0.94572324,0
4548,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
3416,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
6051,0.37873783,0.60916361,-0.14081588,1.0543868,0.49478703,1.5041499,0
872,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1869,0.1754783,-0.45250093,0.89605999,-0.85955255,-0.37786573,-0.94572324,0
2063,-0.25204424,-0.4082649,0.12967348,0.38982455,1.2859167,0.9434824,0
6466,0.57471389,-0.19150839,-0.41130523,2.0088248,-0.37786573,0.7911271,0
1265,-0.41499063,-0.30209845,0.71573375,-0.85955255,-0.37786573,-0.94572324,0
5260,-0.031338267,-0.31979286,-0.095734317,0.23539293,-0.37786573,0.98614188,0
2934,0.26508188,-0.14284877,-0.41130523,0.6417253,-0.37786573,1.1872508999999998,0
6040,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
6098,0.15176469,-0.33306367,-0.14081588,1.3915203,1.5837262,1.6290812,1
3603,-0.39314023,-0.30652205,-0.050652758,0.27547764,1.7706104,1.1598269,0
5892,0.073171007,-0.41711211,0.08459192,-0.85955255,-0.37786573,-0.94572324,0
1958,3.5318013,1.0869127,-0.59163147,2.1303448,14.444917000000002,0.29444885,1
3625,-0.005083911599999999,-0.42153571,-0.050652758,0.7379286,-0.37786573,1.2999938,0
4839,-0.30370604,-0.28440404,3.0599748,-0.85955255,-0.37786573,-0.94572324,0
1122,0.15210346,-0.45250093,-0.230979,0.99615851,2.5460676,0.63877181,0
6418,1.1091171,3.6039423,-0.50146835,1.42401,1.8244762,0.19998856,0
863,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
302,-0.21630444,-0.38172329,-0.095734317,-0.85955255,-0.37786573,-0.94572324,0
4685,-0.26762747,-0.43923012,0.26491816,0.5750581,-0.37786573,0.88863449,0
5152,1.0865891,-0.38172329,-0.230979,-0.85955255,-0.37786573,-0.94572324,0
502,-0.17954834,-0.43923012,0.039510361,0.62147197,-0.37786573,1.3213235,0
5250,-0.29964084,-0.44807732,-0.36622367,-0.85955255,-0.37786573,-0.94572324,0
4491,-0.16362634,-0.2047792,0.08459192,0.010918559,-0.37786573,0.76065604,0
4133,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1150,-0.076563512,-0.25786243,0.08459192,0.83117829,0.94932111,1.1872508999999998,0
440,0.66414809,0.73302447,-0.32114211,-0.85955255,-0.37786573,-0.94572324,0
6426,0.22663195,-0.12073076,0.85097843,0.75522832,-0.37786573,0.86121054,0
6186,0.37077683,-0.24016802,-0.18589744,1.5780197,0.90315981,1.6656465,0
4311,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
6456,0.22561565,-0.3994177,0.12967348,-0.85955255,-0.37786573,-0.94572324,0
5869,0.69548393,1.8079598,0.67065219,-0.85955255,-0.37786573,-0.94572324,0
2015,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
4254,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1732,0.038108738,-0.42153571,0.12967348,-0.85955255,-0.37786573,-0.94572324,0
1596,2.4557114,-0.44365372,-0.41130523,-0.85955255,-0.37786573,-0.94572324,0
4648,1.3423573999999998,5.041613099999998,-0.41130523,2.3763383,-0.37786573,1.2878054,0
4984,0.84945302,0.61358721,-0.50146835,-0.85955255,-0.37786573,-0.94572324,0
2693,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1919,-0.34334164,-0.42153571,0.26491816,0.90586243,0.92459419,1.0409898000000002,0
722,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
562,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
2316,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1705,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
867,0.31640491,0.83476733,-0.32114211,-0.85955255,-0.37786573,-0.94572324,0
4729,1.1670459999999998,4.1568926,-0.45638679,-0.85955255,-0.37786573,-0.94572324,0
5603,0.60232331,5.0770019,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0
5190,-0.13144359,-0.39057049,-0.41130523,-0.85955255,-0.37786573,-0.94572324,0
5382,0.098409065,-0.45250093,-0.36622367,-0.85955255,-0.37786573,-0.94572324,0
2011,0.31504985,-0.37729969,0.2198366,0.71598749,0.28093706,1.1720153,0
4269,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
411,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
2138,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
6226,0.0098217871,-0.3994177,0.039510361,0.97084186,0.87359287,1.190298,0
991,1.0217155,-0.27113323,-0.41130523,5.478472900000001,-0.37786573,0.79722131,1
4603,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
2545,0.078252495,-0.14284877,-0.32114211,0.60290642,2.445777,1.1384972,0
3590,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
5259,0.13923035,0.83476733,-0.18589744,0.49573257,-0.37786573,0.80636263,0
772,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
4551,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
4765,-0.066400536,-0.45250093,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0
5813,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
5412,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
447,0.07418730400000001,-0.45250093,-0.095734317,-0.85955255,-0.37786573,-0.94572324,0
6651,-0.16159375,-0.076494735,0.08459192,1.7780213,0.68048585,0.97700056,0
2004,-0.013214293,0.042942525,0.53540751,0.54341227,-0.37786573,0.81245684,0
3208,-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
