id,V1,V2,V3,V4,V5,class
2897,1.4712120000000002,0.793042,-1.173527,-0.626646,-0.13658299999999998,0
3048,-0.716503,0.147844,1.113412,-1.269515,-0.628085,0
2437,-0.617183,-0.500951,1.080801,0.5473720000000001,0.713432,0
2513,-0.13460999999999998,-0.465046,0.8968219999999999,0.648644,2.461517,1
929,-0.5960479999999999,-0.484528,1.465335,1.429057,2.058439,1
422,0.182946,-0.569078,-1.023464,-0.6142810000000001,0.056277,0
1625,1.134855,0.603759,-0.024544,0.8088310000000001,-0.6990689999999999,0
368,-0.689933,-0.35304,1.524572,0.80858,-0.748789,0
1693,-0.7081890000000001,-0.847144,0.081916,2.248071,-0.13658299999999998,0
2846,-0.672326,-0.984356,-1.093338,0.8378059999999999,2.592436,1
900,-0.8105180000000001,-0.928357,-1.758617,2.11345,-1.869512,0
694,0.164735,-0.642728,-0.980619,-0.386415,-0.242046,0
626,-0.5579109999999999,0.632618,1.770555,-1.319415,-0.638726,0
346,-0.74565,-0.762621,-0.053728,1.827372,-1.473612,0
918,-0.419299,0.732035,-1.226157,-0.697365,-0.314236,0
679,-0.587114,-0.082223,1.907475,-1.3020120000000002,-1.0345540000000002,1
1509,-0.025939,-0.011569,0.7472479999999999,-1.066893,-0.437239,1
2133,-0.60414,0.447495,2.019055,-1.498101,-0.13658299999999998,0
1113,-0.622532,0.143755,-1.156737,-0.684729,0.064699,0
2325,-0.132938,0.636342,-1.243832,-0.691462,-0.285948,0
2703,0.988011,0.015891,-1.085315,-0.244402,0.14602,0
982,-0.662845,-0.432047,0.136559,2.402855,-0.13658299999999998,1
512,-0.543848,-0.13122,0.93489,0.31200500000000003,-1.036522,0
1267,-0.6904060000000001,-0.057771,-1.122825,0.045122,0.818249,0
478,-0.8261700000000001,-1.031679,-0.117513,-0.8303590000000001,-0.96625,0
1075,2.734716,-0.857126,-0.980812,-0.28467,-0.246612,0
2873,0.211865,0.272395,-1.069267,-0.61819,0.029239,0
924,-0.20695500000000006,2.043603,-1.394892,-0.7561439999999999,-0.386803,0
2090,-0.511087,0.38314,-0.129982,-0.807483,-0.359062,0
1800,0.756984,0.070129,0.989427,-1.0893959999999998,-0.4264520000000001,1
1644,0.372532,-0.701242,2.166543,-1.26227,-0.557368,1
1141,-0.51699,1.1180139999999998,0.719002,0.791091,-0.13658299999999998,0
1264,-0.797837,-0.8987879999999999,-1.3898780000000002,-1.308407,1.229136,0
4,-0.654287,-0.12148,1.6865290000000002,-1.255396,-0.13658299999999998,0
1907,1.462909,1.038137,-0.243419,0.07367699999999999,0.385998,0
3167,-0.583647,-0.408768,0.357667,1.990981,-0.13658299999999998,1
625,0.529497,0.170404,-0.400611,-0.268787,0.069729,0
