id,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
13961,0.022256,4,0.489362,0.07133400000000001,0.488991,0.003467,0.422915,0.414912,1
12678,0.446794,5,0.93617,0.041582,0.5423979999999999,0.002723,0.388659,0.732456,0
27089,0.8717309999999999,4,0.744681,0.061577,0.550431,0.004111,0.593734,0.49386,0
26107,0.8981459999999999,5,0.93617,0.085265,0.653675,0.005528,0.516572,0.754825,0
196,0.867086,1,0.319149,0.027681,0.226123,0.001847,0.078198,0.79693,0
5686,0.915667,4,0.553191,0.11907,0.537489,0.008313,0.706629,0.24386,1
5027,0.8764209999999999,1,0.340426,0.028522,0.321184,0.000671,0.204039,0.775877,1
26233,0.907482,7,0.510638,0.090068,0.387533,0.005939,0.360953,0.6070180000000001,1
10666,0.023096,2,0.191489,0.057704,0.187891,0.003467,0.422915,0.414912,0
23259,0.446794,5,0.744681,0.120842,0.713924,0.008037,0.632574,0.6004390000000001,1
3540,0.013716,6,0.276596,0.045755,0.253198,0.003467,0.422915,0.414912,1
15606,0.8987209999999999,4,0.425532,0.096223,0.6222850000000001,0.006396,0.674521,0.323246,1
15586,0.023141,3,0.6382979999999999,0.08946799999999999,0.44213,0.003467,0.422915,0.414912,0
15882,0.460245,3,0.404255,0.113726,0.56382,0.00775,0.5673229999999999,0.303947,1
16781,0.434671,1,0.212766,0.053921,0.053555,0.003467,0.422915,0.414912,1
20189,0.8759790000000001,5,0.361702,0.051609,0.634037,0.003533,0.5336609999999999,0.304825,1
23824,1.0,2,0.06383,0.053471000000000005,0.271943,0.0035770000000000008,0.413257,0.524123,0
24560,0.473563,4,0.617021,0.027861,0.502827,0.001855,0.585448,0.325877,1
12609,0.473961,6,0.425532,0.038429000000000005,0.6420710000000001,0.00253,0.4935270000000001,0.620175,1
15704,0.0008410000000000001,7,0.085106,0.08364400000000001,0.185361,0.003467,0.422915,0.414912,0
12224,0.460776,1,0.468085,0.031164,0.405237,0.002121,0.181771,0.5127189999999999,0
9349,0.4693600000000001,7,0.808511,0.029663,0.349896,0.001978,0.271362,0.600877,0
22401,0.876598,5,0.87234,0.023538,0.390062,0.001529,0.408079,0.7442979999999999,0
17803,1.0,2,0.170213,0.035277,0.156352,0.002324,0.26204,0.617105,0
64,0.468917,4,0.340426,0.054161,0.526927,0.003708,0.472812,0.34693,1
4794,0.4602890000000001,4,0.702128,0.042272,0.497322,0.002896,0.539099,0.304386,1
8241,0.8673069999999999,6,0.87234,0.025339,0.313448,0.001616,0.320041,0.810526,0
9045,0.44268,2,0.382979,0.080611,0.595954,0.005496,0.56784,0.405702,1
14538,0.4340520000000001,1,0.574468,0.057043,0.533918,0.003467,0.422915,0.414912,0
8366,0.022919,5,0.276596,0.084814,0.377417,0.003467,0.422915,0.414912,1
2406,0.8813770000000001,2,0.042553,0.030233,0.242785,0.001959,0.344899,0.585088,1
24296,0.8716430000000001,7,0.617021,0.034526,0.533323,0.002094,0.403936,0.8837719999999999,1
9703,0.456042,5,0.340426,0.068992,0.67465,0.0047740000000000005,0.625065,0.34122800000000003,1
13255,0.473475,2,0.191489,0.025730000000000003,0.21020500000000006,0.001745,0.217504,0.580702,0
16007,0.429273,7,0.595745,0.100546,0.463553,0.003467,0.422915,0.414912,1
20968,0.8946059999999999,1,0.957447,0.07055399999999999,0.491669,0.00205,0.367167,0.650439,1
16258,0.8802270000000001,4,0.914894,0.032214,0.372954,0.0021920000000000004,0.38581,0.324123,0
11656,0.0045130000000000005,7,0.148936,0.051459000000000005,0.127343,0.003467,0.422915,0.414912,0
22525,0.8986770000000001,3,0.340426,0.096013,0.614252,0.006444,0.66261,0.392105,1
16574,0.460201,2,0.553191,0.043083,0.508777,0.002987,0.544795,0.223684,1
9357,0.876908,5,0.808511,0.028972,0.493157,0.001936,0.46349,0.544298,0
16233,0.8725280000000001,6,0.191489,0.032455,0.277596,0.00119,0.322631,0.900877,0
26432,0.013274,3,0.319149,0.041732,0.571407,0.003467,0.422915,0.414912,0
11585,0.02199,5,0.446809,0.057254,0.488099,0.003467,0.422915,0.414912,1
6393,0.031813,4,0.595745,0.058394000000000015,0.214073,0.003467,0.422915,0.414912,0
12612,0.429096,3,0.425532,0.089408,0.512794,0.003467,0.422915,0.414912,1
20357,0.880581,6,0.787234,0.080731,0.548944,0.00555,0.5582600000000001,0.244737,1
15147,0.442281,6,0.234043,0.046986,0.141029,0.003467,0.422915,0.414912,0
168,0.500111,7,0.276596,0.041431,0.20767600000000006,0.0028190000000000003,0.207405,0.360526,0
3029,0.456219,2,0.702128,0.032995,0.512943,0.00225,0.578457,0.470175,1
14486,0.464758,7,0.06383,0.028011,0.302589,0.001897,0.33376500000000003,0.515351,0
1705,0.013937,4,0.723404,0.11859,0.6871470000000001,0.003467,0.422915,0.414912,1
21323,0.8678379999999999,4,0.553191,0.030173,0.5861350000000001,0.001961,0.6667529999999999,0.485088,1
9643,0.907924,3,0.021277,0.054161,0.33011,0.003652,0.400052,0.465351,0
17417,0.8896950000000001,2,0.765957,0.040261,0.8405239999999999,0.002663,0.758674,0.402632,0
26273,0.005309,4,0.723404,0.089798,0.6829810000000001,0.003467,0.422915,0.414912,1
4580,0.911685,5,0.021277,0.045425,0.335168,0.003087,0.377525,0.427632,0
20261,0.906907,1,0.255319,0.023718,0.098631,0.0015539999999999998,0.045054,0.699561,0
20616,0.894739,4,0.021277,0.147952,0.599673,0.009863,0.520197,0.628509,1
23911,0.008628,2,0.87234,0.057734,0.638054,0.003467,0.422915,0.414912,0
5572,0.451042,3,0.6382979999999999,0.042722,0.60845,0.002846,0.599171,0.366228,1
15534,0.8948280000000001,6,0.106383,0.083013,0.416691,0.005399,0.4855,0.730263,0
20851,0.867395,1,0.276596,0.024679,0.16289800000000002,0.00085,0.155101,0.902632,0
24694,0.447237,1,0.553191,0.046896,0.529456,0.003168,0.340497,0.721491,1
26745,0.880448,2,0.510638,0.041852,0.596697,0.002885,0.524081,0.3,1
21754,0.8804040000000001,1,0.914894,0.035367,0.307498,0.002258,0.27265700000000004,0.761842,1
13705,0.438122,3,0.5319149999999999,0.067942,0.454032,0.003467,0.422915,0.414912,1
9029,0.43883,5,0.170213,0.047046,0.107409,0.003467,0.422915,0.414912,0
12911,0.031105,2,0.787234,0.056863,0.383666,0.003467,0.422915,0.414912,0
1669,0.004557,1,0.659574,0.095803,0.402112,0.003467,0.422915,0.414912,1
10558,0.8948280000000001,6,0.468085,0.081302,0.706635,0.005444,0.7037800000000001,0.4258770000000001,0
4410,0.469006,6,0.382979,0.052000000000000005,0.551175,0.003486,0.50233,0.335965,1
16286,0.031415,2,0.553191,0.074817,0.51443,0.003467,0.422915,0.414912,0
26859,0.442326,7,0.744681,0.077939,0.45909,0.003467,0.422915,0.414912,1
23047,0.425424,3,0.489362,0.122703,0.636864,0.003467,0.422915,0.414912,1
9090,0.434406,2,0.446809,0.05209,0.509372,0.003467,0.422915,0.414912,1
2873,0.912349,6,0.021277,0.059505,0.33978,0.004111,0.369239,0.333333,0
