id,V1,V2,V3,V4,V5,class
2205,-0.088193,0.118387,-1.664552,0.931374,-0.672241,1
560,0.022695,-1.1754209999999998,1.140729,0.464249,0.607694,1
2289,1.011033,0.7695770000000001,-1.166389,-0.686034,-0.31190100000000004,0
20,-0.788899,-0.291374,-0.152548,1.121198,-0.13658299999999998,1
1457,-0.258175,2.079288,-1.28498,-0.121472,1.491929,0
1466,0.971789,-0.61924,-0.929432,-0.419601,-0.055724,0
1007,-1.069311,-0.143018,1.961277,-1.409406,-0.13658299999999998,0
2739,-0.536181,-0.180759,1.755881,-1.326965,1.508989,1
1601,-0.885352,-1.183961,-0.407286,0.171148,-0.13658299999999998,0
1749,-0.7542989999999999,-0.353471,1.3827459999999998,-1.457278,-1.1715,0
2660,-0.863489,-1.582094,-0.613889,-0.909957,-0.13658299999999998,1
1454,-0.798234,-0.7697609999999999,0.790266,2.252101,-0.13658299999999998,0
2711,-0.585763,-0.295087,1.165799,-1.17867,-0.666669,0
2778,-0.8001189999999999,-0.803029,0.064667,0.144454,-0.13658299999999998,0
2010,-0.5151640000000001,0.554021,-0.038341,-0.067123,0.191696,0
3211,-0.639405,-0.695677,1.147667,0.802265,-0.929438,0
329,-0.644421,0.723528,0.373876,0.550674,-0.796319,0
86,-0.4693100000000001,-1.0107549999999998,0.181918,0.8901959999999999,1.210309,0
1289,1.170152,-0.7777890000000001,-0.639945,-0.354091,0.073363,0
1590,2.954669,-1.901584,-0.969352,-0.607699,-0.26093,0
1592,-0.660158,-0.141079,2.535399,-1.544766,-0.13658299999999998,0
1544,-0.7787810000000001,-0.507179,0.196558,1.793061,-0.13658299999999998,1
928,-0.716611,-0.812639,1.941816,-1.315942,0.55488,0
1536,-0.053854,2.699552,-1.541831,-0.814705,-0.380498,0
3021,1.323715,0.080822,0.059933000000000014,0.06527999999999999,-0.5815939999999999,0
2411,2.588221,-0.924435,-0.957056,-0.384284,-0.009482,0
1299,-0.6397079999999999,0.64277,0.411858,0.043766,-0.444184,0
2652,-0.4647020000000001,0.85339,-1.229159,0.061461,0.714198,0
1443,-0.681392,-0.17710499999999998,1.209832,-1.193425,-0.13658299999999998,0
552,-0.240961,1.3618629999999998,0.155967,0.032699,0.254632,0
1513,-0.654567,-0.589584,0.611463,0.4493720000000001,2.051855,1
2751,-0.167996,2.135454,0.1478,-0.051225,0.239834,0
2769,-0.525924,-0.8793989999999999,0.195552,0.611993,0.974833,1
826,-0.781572,-0.123806,0.469572,-0.927492,-0.430107,0
1488,-0.084103,-0.7827729999999999,0.665772,1.929716,1.957209,1
3014,-0.676742,-0.422873,0.728197,2.152494,-0.13658299999999998,0
1201,-0.483,-0.077452,1.170251,0.761224,-0.13658299999999998,0
323,-1.137285,1.094232,0.258892,-1.140521,-0.13658299999999998,0
1070,-0.741448,-0.620125,0.756854,1.140958,-1.069596,1
