id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,class
8446,4292.31,4030.77,4264.1,4138.46,4332.31,4612.31,4065.13,4606.67,4181.54,4211.28,4198.46,4278.97,4601.54,4350.26,0
5445,4285.64,4028.21,4247.18,4108.72,4350.77,4620.51,4097.95,4608.21,4200.51,4231.28,4211.28,4275.38,4617.44,4342.05,1
3828,4441.03,4075.38,4298.46,4144.1,4351.28,4624.62,4073.33,4588.21,4184.1,4257.44,4241.03,4317.44,4674.36,4472.31,0
7950,4293.85,4030.26,4267.69,4115.9,4343.59,4621.54,4066.15,4598.46,4192.82,4225.64,4202.05,4272.82,4592.82,4348.72,0
3102,4283.08,4018.46,4249.23,4112.31,4328.72,4602.05,4062.05,4612.82,4188.21,4218.46,4203.08,4262.56,4605.64,4344.1,0
8535,4291.28,4018.46,4257.95,4121.54,4334.36,4620.0,4091.28,4618.97,4202.05,4226.67,4195.38,4275.38,4583.59,4348.21,0
7906,4303.08,4046.15,4257.95,4115.38,4339.49,4618.46,4070.26,4611.79,4206.15,4227.18,4204.1,4270.77,4610.77,4355.38,0
7419,4278.97,3971.79,4263.08,4113.33,4326.15,4615.38,4060.51,4636.41,4220.51,4251.79,4210.77,4282.05,4591.79,4344.1,1
5831,4310.77,4020.0,4261.54,4111.28,4350.26,4622.56,4080.0,4598.97,4185.13,4243.08,4207.18,4281.03,4599.49,4354.36,0
5403,4290.26,3983.59,4249.74,4106.15,4327.18,4626.15,4073.33,4631.79,4220.51,4242.05,4214.87,4284.62,4618.46,4354.36,0
4610,4291.28,3991.28,4262.56,4120.0,4330.77,4620.51,4077.44,4613.33,4201.03,4228.21,4195.38,4285.13,4594.87,4363.08,0
1529,4263.08,4008.21,4250.26,4122.05,4336.92,4622.05,4067.69,4587.18,4177.44,4220.0,4180.0,4265.13,4583.08,4319.49,0
7745,4293.33,4012.31,4247.69,4124.1,4337.95,4628.21,4083.59,4613.33,4198.46,4239.49,4193.85,4263.59,4597.44,4341.03,1
2620,4286.15,3974.87,4250.77,4108.72,4340.0,4616.41,4070.26,4598.46,4188.72,4222.05,4193.33,4272.31,4590.26,4345.64,1
7812,4291.28,4045.64,4282.56,4124.1,4351.79,4633.33,4077.44,4624.62,4216.41,4241.03,4207.69,4283.08,4605.64,4342.05,0
7338,4275.9,4016.92,4274.87,4137.44,4339.49,4631.79,4090.26,4619.49,4191.28,4195.38,4176.92,4274.36,4544.62,4329.23,1
6584,4302.56,4008.72,4265.13,4138.97,4336.41,4618.46,4088.72,4630.77,4211.79,4227.18,4178.46,4278.46,4602.05,4359.49,1
3069,4381.03,4001.54,4293.33,4130.77,4348.21,4623.08,4086.15,4614.87,4211.28,4274.87,4241.54,4314.87,4675.9,4447.18,1
3704,4271.28,4008.72,4255.9,4123.59,4331.79,4623.59,4064.62,4604.62,4189.23,4224.62,4182.56,4269.74,4584.1,4332.82,0
1626,4386.67,4063.08,4294.36,4138.46,4334.87,4623.59,4074.36,4627.18,4204.1,4230.26,4221.54,4305.64,4609.74,4435.38,0
1397,4280.0,4022.05,4245.13,4124.1,4330.77,4603.08,4061.54,4606.15,4190.77,4217.95,4190.26,4260.51,4597.95,4332.31,0
8952,4278.97,4018.97,4262.05,4108.72,4350.26,4629.74,4080.51,4627.18,4203.59,4233.33,4195.38,4272.31,4572.82,4338.97,0
4247,4322.05,4012.82,4263.08,4132.82,4322.05,4600.51,4068.72,4600.0,4190.77,4225.64,4195.9,4285.13,4608.21,4390.77,1
3896,4282.05,3975.38,4260.51,4107.69,4334.36,4614.36,4044.1,4613.85,4199.49,4227.18,4208.72,4273.85,4590.77,4349.23,0
8848,4287.18,3985.13,4253.85,4103.08,4334.36,4609.23,4050.77,4612.31,4200.51,4238.46,4198.97,4276.92,4604.1,4360.0,1
6746,4307.69,4004.1,4265.13,4127.69,4339.49,4608.72,4071.28,4607.69,4209.23,4247.69,4216.41,4291.79,4615.9,4364.1,0
5436,4273.85,4002.56,4244.62,4117.95,4340.51,4617.44,4072.82,4615.38,4197.95,4219.49,4200.51,4258.97,4586.15,4347.69,0
4686,4299.49,3997.44,4277.95,4116.92,4353.85,4623.08,4100.0,4623.59,4202.56,4229.23,4211.79,4278.97,4600.0,4369.23,1
4913,4282.05,4001.03,4245.13,4096.92,4331.28,4612.82,4049.74,4604.1,4172.82,4205.64,4183.08,4262.05,4566.15,4346.15,1
800,4302.56,4006.15,4246.15,4115.38,4324.1,4600.51,4054.87,4592.82,4185.13,4215.38,4187.69,4258.46,4600.51,4366.15,1
1382,4276.41,3961.54,4242.56,4103.59,4323.08,4605.64,4041.54,4604.1,4196.41,4212.82,4184.1,4262.56,4602.05,4328.72,1
1319,4372.31,4051.28,4337.44,4189.23,4416.41,4690.77,4150.77,4674.36,4261.03,4301.54,4288.72,4346.15,4691.79,4447.69,1
6476,4296.92,4046.67,4252.82,4123.59,4345.13,4629.74,4071.79,4615.9,4206.15,4230.26,4207.18,4275.9,4611.79,4356.92,0
276,4274.87,3967.18,4249.74,4096.92,4324.1,4615.9,4045.13,4609.23,4184.1,4212.82,4197.44,4256.41,4582.05,4335.9,0
957,4302.56,4004.1,4262.05,4122.56,4337.44,4605.64,4057.95,4612.82,4181.54,4220.0,4189.74,4265.13,4603.59,4360.0,1
2574,4291.79,3983.59,4263.08,4103.59,4335.9,4623.08,4057.95,4620.51,4209.23,4227.69,4204.62,4261.03,4595.9,4354.87,0
3146,4287.18,4020.51,4264.62,4107.18,4347.18,4629.23,4115.38,4633.33,4220.51,4238.97,4217.95,4295.38,4623.59,4350.77,1
6379,4307.69,4043.08,4265.13,4142.56,4334.87,4587.69,4077.95,4596.41,4181.03,4225.64,4172.31,4284.1,4601.54,4356.92,0
3484,4302.56,4026.67,4250.77,4126.67,4355.9,4630.77,4102.56,4596.41,4197.44,4219.49,4193.85,4283.59,4585.13,4348.21,0
3668,4307.18,4017.44,4246.15,4131.79,4345.13,4634.87,4088.21,4606.15,4200.51,4252.31,4207.18,4281.03,4614.87,4388.72,0
4326,4297.95,3940.51,4237.44,4080.51,4328.21,4606.67,4103.08,4639.49,4221.03,4242.05,4237.95,4300.0,4665.64,4375.38,1
6970,4279.49,4022.56,4270.77,4136.41,4350.26,4627.69,4082.56,4627.18,4199.49,4230.77,4191.79,4277.44,4563.59,4342.56,0
7971,4297.95,4009.74,4256.92,4131.79,4328.72,4600.51,4063.59,4605.13,4200.51,4213.33,4189.74,4272.82,4591.28,4361.03,1
3188,4282.05,4027.69,4264.62,4121.03,4358.97,4633.85,4083.59,4636.41,4216.92,4248.72,4204.1,4285.13,4578.97,4352.82,0
7520,4325.13,4054.36,4280.51,4155.38,4343.08,4626.15,4064.1,4582.05,4173.33,4222.56,4191.79,4269.74,4589.74,4362.05,1
5613,4291.28,4010.26,4264.1,4121.03,4340.51,4613.85,4074.87,4621.03,4209.23,4239.49,4215.38,4281.54,4610.26,4370.26,1
5745,4246.15,4008.72,4244.62,4106.67,4340.51,4616.41,4048.72,4615.38,4181.03,4218.46,4178.97,4248.21,4553.33,4295.38,0
8683,4364.1,4048.72,4333.85,4198.97,4409.23,4676.41,4126.67,4658.46,4249.23,4288.21,4277.44,4330.77,4684.62,4430.77,1
968,4287.69,3994.87,4265.64,4123.08,4332.31,4618.97,4044.62,4616.41,4197.44,4211.28,4192.31,4283.59,4608.21,4362.56,0
4269,4340.0,4004.1,4275.9,4125.13,4320.0,4607.69,4060.51,4608.72,4189.23,4224.1,4207.69,4287.18,4607.18,4397.95,1
3275,4302.05,3993.33,4265.13,4109.23,4333.85,4613.33,4060.0,4618.97,4193.85,4238.97,4205.64,4287.18,4600.0,4364.1,1
2752,4288.21,4033.33,4258.46,4104.1,4351.28,4623.59,4067.69,4597.95,4192.31,4211.79,4176.92,4268.72,4592.82,4335.38,0
5147,4350.26,4044.62,4277.44,4152.82,4354.36,4637.95,4089.74,4611.28,4207.69,4262.56,4219.49,4304.1,4628.72,4421.54,0
4488,4311.79,4000.0,4266.67,4108.72,4334.36,4613.85,4063.08,4615.38,4213.85,4234.36,4208.21,4276.41,4610.26,4373.85,1
7956,4288.21,3998.46,4261.03,4112.82,4337.44,4628.21,4067.18,4635.38,4224.62,4243.59,4207.18,4284.1,4610.77,4354.36,0
481,4271.79,3979.49,4250.26,4100.0,4334.87,4615.9,4064.1,4619.49,4199.49,4233.85,4210.77,4278.46,4598.97,4348.72,0
7415,4322.05,4054.87,4276.92,4151.79,4358.97,4646.67,4084.62,4616.41,4214.36,4256.92,4211.79,4282.05,4610.26,4379.49,1
6374,4328.21,4013.85,4279.49,4119.49,4331.28,4616.92,4060.0,4599.49,4195.38,4224.62,4204.62,4277.95,4611.79,4377.95,1
5793,4264.1,4023.08,4246.15,4118.46,4343.59,4623.59,4044.62,4603.59,4197.95,4222.56,4193.33,4259.49,4609.23,4334.36,1
2741,4294.36,4000.51,4277.44,4129.74,4333.85,4615.9,4054.87,4612.82,4194.87,4229.23,4169.23,4274.36,4600.0,4354.36,0
1960,4278.46,3974.87,4248.72,4092.82,4325.64,4595.9,4037.44,4593.33,4175.9,4225.13,4187.18,4252.31,4586.67,4348.72,0
4086,4308.72,4040.0,4275.9,4154.36,4348.72,4623.59,4075.38,4607.18,4196.41,4227.69,4199.49,4267.18,4604.1,4353.85,1
3950,4326.67,4011.79,4292.82,4127.69,4340.0,4617.95,4067.69,4644.1,4227.18,4253.85,4218.46,4293.33,4609.23,4372.31,1
1007,4304.62,4002.05,4262.05,4124.1,4348.72,4632.31,4102.56,4635.38,4205.64,4238.46,4217.44,4283.59,4617.44,4381.03,1
7456,4439.49,4124.62,4296.92,4168.72,4326.67,4599.49,4057.95,4608.21,4179.49,4205.64,4196.92,4292.82,4643.08,4469.74,0
1931,4278.97,4005.64,4249.23,4098.97,4343.59,4608.72,4048.72,4601.54,4183.59,4224.62,4202.56,4276.41,4625.13,4350.77,1
24,4299.49,3979.49,4249.23,4080.51,4328.72,4617.95,4103.59,4637.95,4217.44,4235.38,4183.59,4301.03,4624.1,4371.79,1
1313,4317.44,3990.77,4268.72,4117.95,4351.28,4629.23,4085.64,4624.62,4218.97,4262.56,4221.03,4281.54,4637.44,4386.67,1
3414,4290.26,3995.38,4245.64,4102.05,4346.15,4629.74,4064.1,4610.77,4204.62,4226.67,4206.67,4263.08,4614.36,4353.85,0
5394,4354.87,4037.95,4282.56,4137.44,4318.97,4608.72,4074.87,4611.79,4201.54,4232.31,4201.54,4287.69,4598.97,4393.33,0
731,4377.95,4005.13,4258.97,4122.56,4354.87,4606.15,4068.72,4584.62,4177.44,4232.31,4213.85,4288.72,4628.72,4426.15,1
8398,4279.49,3995.38,4247.18,4081.03,4334.87,4621.03,4085.64,4627.69,4213.85,4234.36,4196.41,4272.31,4590.26,4334.87,0
5954,4298.46,4001.03,4256.92,4125.64,4341.54,4616.41,4051.79,4609.23,4201.03,4229.23,4204.62,4269.23,4611.28,4355.9,0
3521,4266.15,3990.26,4236.92,4092.31,4342.05,4619.49,4055.38,4608.72,4200.0,4219.49,4192.31,4256.92,4603.08,4337.44,0
5091,4304.62,4009.74,4263.59,4124.62,4349.23,4599.49,4084.62,4620.0,4209.74,4243.08,4223.08,4288.72,4628.21,4369.23,0
386,4354.36,4050.77,4342.56,4154.36,4365.64,4655.9,4104.1,4645.13,4229.23,4262.56,4253.33,4318.46,4656.41,4418.97,0
3737,4275.9,3984.62,4261.54,4115.9,4332.82,4607.18,4050.26,4613.33,4194.36,4232.31,4188.72,4254.87,4587.18,4348.72,0
6721,4289.74,4011.28,4247.69,4123.08,4338.46,4616.41,4085.64,4603.08,4197.95,4236.41,4197.44,4259.49,4589.23,4331.79,1
5978,4306.67,4015.38,4248.72,4119.49,4341.03,4629.23,4073.33,4610.26,4206.15,4252.31,4204.1,4283.59,4604.62,4386.15,0
4858,4293.33,4037.44,4250.77,4112.31,4344.62,4625.64,4080.0,4604.1,4189.74,4197.95,4186.67,4261.03,4589.23,4336.92,0
3870,4291.79,4020.51,4248.21,4122.05,4345.64,4614.36,4075.38,4602.56,4180.51,4223.59,4193.85,4251.28,4583.08,4354.36,1
4844,4275.9,3969.74,4261.54,4103.08,4350.26,4638.97,4091.79,4632.31,4210.77,4242.56,4212.82,4273.85,4617.44,4365.64,1
3997,4297.44,4003.08,4273.85,4123.59,4330.26,4613.33,4054.87,4617.95,4208.72,4236.41,4214.36,4284.62,4610.26,4362.56,0
4420,4320.51,4025.64,4265.13,4135.38,4344.62,4635.38,4076.92,4584.62,4193.33,4242.05,4206.67,4285.64,4609.23,4385.64,0
573,4286.15,3995.38,4262.56,4105.13,4332.31,4614.87,4051.28,4614.36,4192.82,4238.46,4171.79,4267.69,4596.41,4355.38,0
2157,4300.51,4026.15,4265.13,4136.92,4352.82,4625.13,4082.05,4616.41,4197.44,4227.18,4202.56,4267.18,4588.72,4365.64,1
5666,4304.1,4059.49,4265.13,4124.1,4358.97,4629.23,4069.74,4603.08,4201.54,4227.69,4187.18,4270.26,4613.33,4345.13,0
3060,4217.95,3971.28,4218.97,4094.87,4329.23,4616.41,4080.0,4615.38,4211.79,4224.62,4176.92,4247.18,4550.77,4283.59,0
6170,4308.21,4008.72,4264.62,4122.56,4340.51,4615.9,4061.03,4613.33,4198.97,4234.36,4176.92,4277.95,4606.15,4365.64,1
6424,4317.44,4013.33,4278.46,4136.92,4330.77,4625.64,4081.03,4629.23,4222.05,4247.18,4204.1,4294.36,4625.13,4386.67,1
2308,4284.62,4017.95,4249.23,4118.97,4336.41,4628.21,4081.03,4600.0,4193.85,4224.1,4175.9,4265.64,4593.85,4344.1,0
1037,4288.72,3997.44,4261.03,4100.51,4326.67,4608.72,4047.18,4610.77,4184.1,4221.03,4191.79,4271.28,4591.79,4351.79,1
7514,4295.9,4002.56,4262.56,4108.21,4341.54,4615.9,4053.85,4604.62,4194.87,4215.38,4198.46,4273.85,4596.92,4348.21,1
5549,4269.74,4059.49,4271.28,4165.64,4373.85,4635.38,4080.51,4653.85,4184.62,4205.13,4166.15,4252.82,4542.05,4291.28,0
7900,4285.64,4014.36,4265.64,4123.08,4346.15,4615.38,4057.95,4614.87,4204.1,4234.87,4207.69,4280.51,4625.64,4343.59,1
5973,4310.77,3976.92,4250.26,4090.26,4334.36,4616.92,4101.03,4626.67,4195.9,4218.97,4163.59,4288.72,4610.77,4368.72,1
592,4300.51,3991.28,4270.26,4114.87,4314.87,4614.87,4065.64,4615.9,4207.69,4235.38,4209.74,4284.1,4618.46,4361.03,0
8188,4314.36,4006.67,4262.05,4102.05,4338.97,4606.67,4047.18,4603.08,4188.72,4214.87,4199.49,4271.79,4604.1,4354.87,1
8106,4311.79,4005.64,4265.64,4109.74,4342.05,4616.92,4063.59,4625.13,4197.95,4243.59,4203.59,4289.23,4615.38,4377.95,1
4417,4317.95,4004.62,4282.56,4124.62,4332.31,4616.41,4068.21,4614.36,4205.13,4235.38,4208.72,4283.59,4600.51,4354.87,1
1541,4282.56,4025.64,4263.59,4111.79,4346.15,4626.15,4108.21,4616.41,4206.67,4229.23,4214.87,4293.85,4616.92,4350.77,1
6983,4274.87,4007.69,4257.95,4109.74,4344.1,4612.31,4076.92,4625.13,4212.31,4230.26,4190.77,4272.82,4586.15,4335.38,0
3514,4281.03,3989.74,4264.62,4110.77,4333.33,4615.9,4070.77,4625.13,4203.59,4240.0,4204.1,4284.62,4589.74,4352.31,0
7493,4327.69,4043.59,4266.67,4123.08,4354.87,4634.36,4110.26,4634.36,4226.15,4242.56,4228.21,4293.33,4632.82,4380.0,1
