id,age,workclass,fnlwgt:,education:,education-num:,marital-status:,occupation:,relationship:,race:,sex:,capital-gain:,capital-loss:,hours-per-week:,native-country:,class
7288,43,Private,209894,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
9172,67,Private,35015,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,99,United-States,0
2241,35,State-gov,172327,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,0
5572,37,Private,166339,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
17286,23,Private,186666,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
10531,28,Private,213081,11th,7,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,Jamaica,0
4753,21,Private,222490,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,0
9671,50,Private,130780,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,0
17088,19,Private,174732,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,25,United-States,0
15703,19,Private,181546,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
4569,55,State-gov,337599,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
16136,46,Private,85109,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1628,40,United-States,0
14481,36,Private,187847,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,1
16307,40,Private,478205,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,0
19354,20,Private,50648,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,0
13438,50,Self-emp-not-inc,32372,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,0
10604,30,Private,115963,7th-8th,4,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,42,United-States,0
1072,61,Private,231323,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
12785,22,Private,192017,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
13505,20,Private,39477,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,0
523,54,Private,103580,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,55,United-States,1
654,37,Private,93717,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,45,United-States,1
562,24,Private,86745,Bachelors,13,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,0
14245,53,Private,120839,12th,8,Divorced,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
7427,29,Local-gov,107411,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,70,United-States,0
5602,43,Local-gov,223861,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
3972,24,Private,175254,Some-college,10,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,0
6610,38,State-gov,125499,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7688,0,60,India,1
15426,53,Private,233780,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,2202,0,40,United-States,0
4135,34,Private,344275,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,70,United-States,0
8066,45,Private,168038,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States,1
16367,40,Local-gov,370502,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,0
1730,34,Private,345360,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,England,0
3589,29,Private,174419,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,30,United-States,0
12140,28,State-gov,70100,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,0
9554,29,State-gov,198493,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1
631,57,?,199114,10th,6,Separated,?,Not-in-family,White,Male,0,0,30,United-States,0
3283,39,Private,165186,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,0
17534,53,Local-gov,132304,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
15007,50,Self-emp-inc,176751,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,1
18643,43,Private,220609,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,50,United-States,0
7539,31,Private,131568,7th-8th,4,Divorced,Transport-moving,Unmarried,White,Male,0,0,20,United-States,0
7360,30,Private,247444,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Nicaragua,0
1656,23,Private,315065,10th,6,Never-married,Other-service,Unmarried,White,Male,0,0,60,Mexico,0
17660,31,Private,199655,Masters,14,Divorced,Other-service,Not-in-family,Other,Female,0,0,30,United-States,0
10858,38,Private,175232,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,0
11649,20,Private,316043,11th,7,Never-married,Other-service,Own-child,Black,Male,594,0,20,United-States,0
2126,52,Private,99602,HS-grad,9,Separated,Craft-repair,Own-child,Black,Female,0,0,40,United-States,0
19187,27,?,224421,Some-college,10,Divorced,?,Own-child,White,Male,0,0,40,United-States,0
13201,24,Private,220944,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0
10600,31,Self-emp-not-inc,234537,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0
17860,18,Private,131180,11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0,16,United-States,0
1372,41,Private,290660,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,55,United-States,1
19109,54,Private,141663,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,15,United-States,0
7630,50,Local-gov,177705,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1740,48,United-States,0
2145,36,Private,278576,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0
1107,29,?,112963,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,0
10406,29,?,108775,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,Dominican-Republic,0
4761,29,Federal-gov,155970,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
9892,17,Federal-gov,99893,11th,7,Never-married,Adm-clerical,Not-in-family,Black,Female,0,1602,40,United-States,0
