id,V1,V2,V3,V4,V5,class
936,-0.8316399999999999,-0.802773,-0.4563640000000001,0.5419229999999999,-0.13658299999999998,1
2267,-0.699054,1.533591,-0.034194,-0.064356,0.2575,0
1794,0.513904,-0.6620189999999999,-0.958142,-0.360426,0.053329,0
2336,-0.654628,-0.197785,1.245362,-1.057101,-0.541441,0
2029,-0.635193,0.956932,-0.149329,-0.107746,-0.13658299999999998,0
989,-0.799161,-0.8881459999999999,0.406283,0.730664,1.297652,0
2808,0.014874,2.145876,-1.473601,0.123095,0.409041,0
394,-0.295283,0.8170350000000001,0.268185,-1.153249,3.130377,0
16,-0.446951,-0.585477,0.00744,0.996331,1.873195,1
674,-0.662096,-0.891183,1.544455,0.543061,0.933759,0
873,2.897154,-0.8883139999999999,-1.011492,-0.696013,0.902268,0
3123,-0.4893770000000001,2.254306,-1.3766459999999998,-0.76671,-0.382232,0
589,-1.401966,-2.415534,-1.142984,-0.628364,-0.257012,0
1916,0.017869,1.72849,-1.312648,-0.739382,-0.350519,0
1767,1.249757,0.325,-1.235985,-0.266739,-0.356106,0
82,-0.661458,-0.921627,-0.148304,1.14485,3.3748440000000004,1
562,0.196158,1.340913,-1.356432,-0.706214,-0.326723,0
109,-0.103089,1.96113,-1.3625969999999998,-0.738182,-0.368374,0
2983,-0.686925,-0.17204,1.323963,0.832232,-0.13658299999999998,0
2070,-0.6234890000000001,-0.393991,-0.100064,0.338652,1.381274,1
1003,-1.266229,-0.523784,-2.084492,1.586,-0.13658299999999998,1
1458,-0.704902,0.041318,0.088487,0.861057,-0.857707,0
3041,-0.782118,-0.8897790000000001,0.070792,-0.048522,-0.456262,0
2387,-0.796499,-0.91178,-0.333842,-1.119531,1.787549,1
2183,-0.571195,-0.579793,1.42262,0.526346,-0.7440899999999999,0
1661,2.600309,-1.058064,0.44125,-0.779048,-0.313649,0
27,-0.386628,1.419439,-1.288349,-0.767624,-0.346717,0
172,3.284214,-0.764791,-0.975088,-0.619727,-0.23440500000000006,0
2022,-0.7336050000000001,-0.835558,0.165774,1.989889,-1.203088,0
368,-0.689933,-0.35304,1.524572,0.80858,-0.748789,0
2678,-0.459135,0.211964,-0.368432,-0.155407,-0.13658299999999998,0
446,-0.5897100000000001,1.006952,0.78764,0.42102,0.415979,0
2545,-0.8468969999999999,-0.919975,-0.479842,0.133597,1.597844,0
3042,-0.06561399999999999,0.182272,0.777212,-0.8765270000000001,-0.6797350000000001,1
2786,-0.620897,1.802668,-1.3220120000000002,-0.224894,0.13386099999999998,0
2039,-0.707805,0.377887,0.362962,0.124305,-0.13658299999999998,0
1498,-0.573191,-0.704357,0.0005480000000000001,2.257349,3.597125,1
2165,-0.809088,-0.591968,1.5335299999999998,-1.618177,-0.13658299999999998,0
2112,1.114488,-0.159186,-1.017256,-0.5893149999999999,-0.009184,0
1431,0.717635,1.468719,0.348342,-0.766446,-0.329611,1
1803,-0.117218,-0.8051560000000001,0.89023,0.991837,0.8573360000000001,0
2677,-1.021292,3.664763,-1.345237,-0.818745,-0.419005,0
1443,-0.681392,-0.17710499999999998,1.209832,-1.193425,-0.13658299999999998,0
1819,-0.643701,0.010944,1.5271549999999998,-1.515953,-0.13658299999999998,0
2886,-0.62145,-0.55552,0.203685,-1.001893,-0.13658299999999998,1
1915,-0.689457,-1.123339,-0.189319,1.443093,1.538892,1
899,0.749042,0.082596,-0.477896,-0.6250319999999999,0.057672,0
2544,0.28215500000000004,1.770155,-1.323117,-0.1416,1.13166,0
3138,-0.479199,1.591343,1.356305,-1.009993,-0.459917,1
2317,1.440504,-0.122443,-0.501588,-0.215252,-0.249326,0
3228,-0.491892,1.953492,-1.515105,0.155873,-0.13658299999999998,0
3006,0.8317450000000001,0.317539,-1.275623,-0.009881,-1.14073,1
911,0.455352,0.832299,0.5950489999999999,0.736847,-0.698545,1
2563,0.37563,0.715056,-1.205196,-0.703029,-0.328469,0
990,-0.644967,0.21697,0.070467,-0.021854,-0.380286,0
1724,0.157746,0.217734,0.910707,0.397947,1.060141,1
1548,2.753966,-0.907633,-0.943,-0.581017,-0.202528,0
2188,1.996662,-0.81402,0.8531989999999999,-0.947156,-0.371546,0
652,-0.152551,0.205044,0.103101,-0.8629190000000001,0.15693900000000002,0
3079,-0.431419,0.8995799999999999,0.145228,-0.086655,-0.13658299999999998,0
1859,-0.730349,-0.869685,1.980879,-1.351489,0.557303,0
1411,-0.606698,-0.151372,-0.015472,1.118762,-1.421849,1
449,0.4482140000000001,0.5520470000000001,-1.130209,-0.281163,-0.286551,0
1215,-0.208894,1.414257,0.397584,-0.921325,-0.13658299999999998,0
193,-0.768859,-1.03492,-0.329043,-1.255289,2.980608,0
909,-0.514882,-0.86544,1.13725,1.245047,-0.796227,0
223,-0.309377,1.95536,-1.28799,-0.7699630000000001,0.193181,0
456,-0.188074,-0.903336,0.050613,2.019932,-1.111509,0
1546,-0.680089,-0.768796,-0.17528,1.511276,1.880718,0
